experiment_version_id,X_FORMULA__SJ_230_PCT,X_FORMULA__SJ_231_PCT,X_FORMULA__SJ_232_PCT,X_FORMULA__SJ_230_WASHED_PCT,X_FORMULA__SJ_231_WASHED_PCT,X_FORMULA__SJ_232_WASHED_PCT,X_FORMULA__DSP_3315_PCT,X_FORMULA__SS059_PC_1_1_PCT,X_FORMULA__S_48_PCT,X_PROCESS__COATING_SOLIDS_PCT,X_PROCESS__UVA_INTENSITY_MW_CM2,X_PROCESS__UV_ENERGY_MJ_CM2,X_PROCESS__FILM_THICKNESS_UM,X_ENV__TEMPERATURE_C,X_ENV__HUMIDITY_RH_PCT,X_CONTEXT__SUBSTRATE,X_CONTEXT__APPLICATION_METHOD,X_CONTEXT__CURING_SOURCE,Y__WARPING_PET_INITIAL_CM,Y__WARPING_PET_12H_CM,Y__HARDNESS_PET_1KG_ORD,Y__STEEL_WOOL_500G_CYCLES,Y__STEEL_WOOL_1KG_CYCLES
SYN-UVPU-APP-0001-V1,55.9131,0.0,0.0,0.0,0.0,0.0,1.5241,1.6213,40.9414,39.0,145.0,750.0,9.6436,23.0,50.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.974,3.6489,2.0,163.8151,17.1598
SYN-UVPU-APP-0011-V1,0.0,52.7081,0.0,0.0,0.0,0.0,1.7049,1.5261,44.0609,39.0,145.0,750.0,9.7999,23.0,50.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,3.5769,1.9835,2.0,5.0,5.0
SYN-UVPU-APP-0021-V1,0.0,0.0,55.9384,0.0,0.0,0.0,1.7048,1.261,41.0958,39.0,145.0,750.0,10.7498,23.0,50.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.3306,3.0809,2.0,129.7898,22.1767
SYN-UVPU-APP-0031-V1,0.0,0.0,0.0,52.0687,0.0,0.0,1.2768,1.1672,45.4873,39.0,145.0,750.0,8.891,23.0,50.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,3.0743,3.5593,2.0,304.8506,70.4139
SYN-UVPU-APP-0041-V1,0.0,0.0,0.0,0.0,55.1916,0.0,1.8216,1.0911,41.8957,39.0,145.0,750.0,10.2362,23.0,50.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.546,0.0,2.0,5.0,
SYN-UVPU-APP-0051-V1,0.0,0.0,0.0,0.0,0.0,69.8575,1.8593,1.3939,26.8894,39.0,145.0,750.0,10.5377,23.0,50.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,1.8039,2.6186,2.0,398.2564,73.3723
SYN-UVPU-APP-0061-V1,51.2773,0.0,0.0,0.0,0.0,0.0,1.4605,1.2831,45.979,39.0,185.0,900.0,10.4651,24.5,60.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.4932,3.4986,2.0,288.3027,86.9012
SYN-UVPU-APP-0071-V1,0.0,54.8156,0.0,0.0,0.0,0.0,1.8035,1.4397,41.9411,39.0,185.0,900.0,8.8422,24.5,60.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,3.0216,1.5049,2.0,170.2405,76.123
SYN-UVPU-APP-0081-V1,0.0,0.0,51.4779,0.0,0.0,0.0,1.6427,1.2522,45.6273,39.0,185.0,900.0,11.8503,24.5,60.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.1532,3.6332,3.0,399.8617,159.4496
SYN-UVPU-APP-0091-V1,0.0,0.0,0.0,51.3876,0.0,0.0,1.9108,1.4039,45.2977,39.0,185.0,900.0,8.5084,24.5,60.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.3463,3.1204,3.0,545.5807,
