experiment_version_id,experiment_id,project_id,organization_id,formula_lineage_group,main_resin_code,source_template_code,source_file,source_sheet,source_range,content_hash,permission_scope,data_nature,snapshot_purpose,generator_version,generated_seed
SYN-UVPU-APP-0001-V1,SYN-UVPU-APP-0001,SYNTH-UVPU-APPLICATION-PROJECT,SYNTHETIC-DEVELOPMENT,FLG-001,SJ-230,APPLICATION_TEST_REPORT_V1,UVPU_APPLICATION_FORMULATION_Synthetic_400_Shared_Process_Original_Report_V3.xlsx,APP-001,D8:D36,b16355380d8f2df78341457ce8eea6709c276ea7044b78371a2d41275eb15bb1,INTERNAL_TEST_ONLY,SYNTHETIC,DEVELOPMENT,2.0.1-pyarrow-repair,20260903
SYN-UVPU-APP-0011-V1,SYN-UVPU-APP-0011,SYNTH-UVPU-APPLICATION-PROJECT,SYNTHETIC-DEVELOPMENT,FLG-002,SJ-231,APPLICATION_TEST_REPORT_V1,UVPU_APPLICATION_FORMULATION_Synthetic_400_Shared_Process_Original_Report_V3.xlsx,APP-001,E8:E36,d5efbf01a90b1ccc510d7ff089fad5c83c414ae5c00abb7339e35af4de5617df,INTERNAL_TEST_ONLY,SYNTHETIC,DEVELOPMENT,2.0.1-pyarrow-repair,20260903
SYN-UVPU-APP-0021-V1,SYN-UVPU-APP-0021,SYNTH-UVPU-APPLICATION-PROJECT,SYNTHETIC-DEVELOPMENT,FLG-003,SJ-232,APPLICATION_TEST_REPORT_V1,UVPU_APPLICATION_FORMULATION_Synthetic_400_Shared_Process_Original_Report_V3.xlsx,APP-001,F8:F36,9904b2d0c5f87ca8d95fd175a8f913e053c25e2dd9b51277d31960efd109b231,INTERNAL_TEST_ONLY,SYNTHETIC,DEVELOPMENT,2.0.1-pyarrow-repair,20260903
SYN-UVPU-APP-0031-V1,SYN-UVPU-APP-0031,SYNTH-UVPU-APPLICATION-PROJECT,SYNTHETIC-DEVELOPMENT,FLG-004,SJ-230-WASHED,APPLICATION_TEST_REPORT_V1,UVPU_APPLICATION_FORMULATION_Synthetic_400_Shared_Process_Original_Report_V3.xlsx,APP-001,G8:G36,394b23b763562021822a38d2d29037878aa85f0bab8077dcf62a089ab2b747ec,INTERNAL_TEST_ONLY,SYNTHETIC,DEVELOPMENT,2.0.1-pyarrow-repair,20260903
SYN-UVPU-APP-0041-V1,SYN-UVPU-APP-0041,SYNTH-UVPU-APPLICATION-PROJECT,SYNTHETIC-DEVELOPMENT,FLG-005,SJ-231-WASHED,APPLICATION_TEST_REPORT_V1,UVPU_APPLICATION_FORMULATION_Synthetic_400_Shared_Process_Original_Report_V3.xlsx,APP-001,H8:H36,82c5843d79a815eba9ba514d32079de4984da8fa3e85955c4362e5fa899b8ee3,INTERNAL_TEST_ONLY,SYNTHETIC,DEVELOPMENT,2.0.1-pyarrow-repair,20260903
SYN-UVPU-APP-0051-V1,SYN-UVPU-APP-0051,SYNTH-UVPU-APPLICATION-PROJECT,SYNTHETIC-DEVELOPMENT,FLG-006,SJ-232-WASHED,APPLICATION_TEST_REPORT_V1,UVPU_APPLICATION_FORMULATION_Synthetic_400_Shared_Process_Original_Report_V3.xlsx,APP-001,I8:I36,d0fb1ed9d91162ec1e686eb7720fb983b0ed76f2e0fb2809cf8071076ddbe743,INTERNAL_TEST_ONLY,SYNTHETIC,DEVELOPMENT,2.0.1-pyarrow-repair,20260903
SYN-UVPU-APP-0061-V1,SYN-UVPU-APP-0061,SYNTH-UVPU-APPLICATION-PROJECT,SYNTHETIC-DEVELOPMENT,FLG-007,SJ-230,APPLICATION_TEST_REPORT_V1,UVPU_APPLICATION_FORMULATION_Synthetic_400_Shared_Process_Original_Report_V3.xlsx,APP-002,D8:D36,edfd01b069909826e50f4fae22a103600cae6465f75517f938221584312f91a4,INTERNAL_TEST_ONLY,SYNTHETIC,DEVELOPMENT,2.0.1-pyarrow-repair,20260903
SYN-UVPU-APP-0071-V1,SYN-UVPU-APP-0071,SYNTH-UVPU-APPLICATION-PROJECT,SYNTHETIC-DEVELOPMENT,FLG-008,SJ-231,APPLICATION_TEST_REPORT_V1,UVPU_APPLICATION_FORMULATION_Synthetic_400_Shared_Process_Original_Report_V3.xlsx,APP-002,E8:E36,a22b5fde7be9c780bf06602ffa297012fa5689d3d01629d1d0f73a0cb62633dc,INTERNAL_TEST_ONLY,SYNTHETIC,DEVELOPMENT,2.0.1-pyarrow-repair,20260903
SYN-UVPU-APP-0081-V1,SYN-UVPU-APP-0081,SYNTH-UVPU-APPLICATION-PROJECT,SYNTHETIC-DEVELOPMENT,FLG-009,SJ-232,APPLICATION_TEST_REPORT_V1,UVPU_APPLICATION_FORMULATION_Synthetic_400_Shared_Process_Original_Report_V3.xlsx,APP-002,F8:F36,aa3d1ef29b11d53e6b8aaf6dff63bc701e2cf90b95c15df99d23eee3da54886c,INTERNAL_TEST_ONLY,SYNTHETIC,DEVELOPMENT,2.0.1-pyarrow-repair,20260903
SYN-UVPU-APP-0091-V1,SYN-UVPU-APP-0091,SYNTH-UVPU-APPLICATION-PROJECT,SYNTHETIC-DEVELOPMENT,FLG-010,SJ-230-WASHED,APPLICATION_TEST_REPORT_V1,UVPU_APPLICATION_FORMULATION_Synthetic_400_Shared_Process_Original_Report_V3.xlsx,APP-002,G8:G36,1bb45f4fee22d0f63c67d95785ba02d4c9446b492d2c8139f4d78169b1961c99,INTERNAL_TEST_ONLY,SYNTHETIC,DEVELOPMENT,2.0.1-pyarrow-repair,20260903
SYN-UVPU-APP-0101-V1,SYN-UVPU-APP-0101,SYNTH-UVPU-APPLICATION-PROJECT,SYNTHETIC-DEVELOPMENT,FLG-011,SJ-231-WASHED,APPLICATION_TEST_REPORT_V1,UVPU_APPLICATION_FORMULATION_Synthetic_400_Shared_Process_Original_Report_V3.xlsx,APP-002,H8:H36,03d3350b4327e22e34fc9a3f55aaebc10eef3df0993cd144c414557c1110e2da,INTERNAL_TEST_ONLY,SYNTHETIC,DEVELOPMENT,2.0.1-pyarrow-repair,20260903
SYN-UVPU-APP-0111-V1,SYN-UVPU-APP-0111,SYNTH-UVPU-APPLICATION-PROJECT,SYNTHETIC-DEVELOPMENT,FLG-012,SJ-232-WASHED,APPLICATION_TEST_REPORT_V1,UVPU_APPLICATION_FORMULATION_Synthetic_400_Shared_Process_Original_Report_V3.xlsx,APP-002,I8:I36,b0ef414a0d845c1032ad1f48115304a333b4627fff2c94778db73cb929dfe615,INTERNAL_TEST_ONLY,SYNTHETIC,DEVELOPMENT,2.0.1-pyarrow-repair,20260903
SYN-UVPU-APP-0121-V1,SYN-UVPU-APP-0121,SYNTH-UVPU-APPLICATION-PROJECT,SYNTHETIC-DEVELOPMENT,FLG-013,SJ-230,APPLICATION_TEST_REPORT_V1,UVPU_APPLICATION_FORMULATION_Synthetic_400_Shared_Process_Original_Report_V3.xlsx,APP-003,D8:D36,b7239022ee31f75b43c7eae55fdbfb42dd51587639f79afd440e520cc71df934,INTERNAL_TEST_ONLY,SYNTHETIC,DEVELOPMENT,2.0.1-pyarrow-repair,20260903
SYN-UVPU-APP-0131-V1,SYN-UVPU-APP-0131,SYNTH-UVPU-APPLICATION-PROJECT,SYNTHETIC-DEVELOPMENT,FLG-014,SJ-231,APPLICATION_TEST_REPORT_V1,UVPU_APPLICATION_FORMULATION_Synthetic_400_Shared_Process_Original_Report_V3.xlsx,APP-003,E8:E36,5b8042dafc32796de901aeec59297d60a00791cb59a11e2445d00fb37b4a8fcd,INTERNAL_TEST_ONLY,SYNTHETIC,DEVELOPMENT,2.0.1-pyarrow-repair,20260903
